id	Tweet text
29	Don't invoke #optout @PatriciaFahy109 and vote yes on #NYSBudget
44	Are #parcc items making better #assessment? #education #edtech #ccss #commoncore http://www.assess.com/parcc-part-ab-items-provide-bad-data/�__�_
134	Do standardized tests help catch the weakest among us" as one audience member claims? #TheSchoolProject #TestingSeason #PARCC"
167	Does testing help narrow the achievement gap by giving us data to track performance? #PARCC #TestingSeason @theschoolpr
228	#thirdgrade crushed their first day of #PARCC! First testing experience in the books!
295	@UrbanEdMOOC Our #TestingSeason panel tonight includes teachers & policy makers do you have any questions about #OptOut & #testing policy?
302	@beansouptimes: Have your followers submit questions on #testing policy & #OptOut to our panel of teachers & policy makers w/ #TestingSeason
1524	Tech Department PCIS and PSMS Staff did an awesome job this week in working together for a successful week of #PARCC testing. #Plymouth
1730	A huge congratulations to our 3rd grade scholars for completing their #PARCC testing today. Bravo! pic.twitter.com/N1e0dqsmK0
1746	We are officially finished with the #PARCC Performance Based Assessment! Thanks to everyone for your support. #PohatPride
1896	Getting scheduling squared away for the next round of #parcc and #air This is great. Good job @sampson_mp and @morrisce22
1939	@PARCCPlace I found the non calculator part much easier Also I liked the answer eliminator #coolblue9 #PARCC
1940	@PARCCPlace Also the drop down calculator was VERY useful! #coolblue9 #PARCC
1942	@PARCCPlace I like the set up of your test and how you mixed in multiple choice and fill in the blank questions. #coolblue9 #PARCC
1946	@PARCCPlace #coolblue9 #PARCC - I liked the non-calculator section because it was easier & a few questions were difficult -
3046	@MisteneC Adaptive Learning tool That Is Aligned With #RTI & Offers Test Based On Principals Of #PARCC & #SBAC http://bit.ly/1l9hNxv
3061	Parents: Have ?s about the #PARCC test we're taking next week? Check out these helpful answers at http://www.parcconline.org/frequently-asked-questions�__�_
3079	let's do this. #parcc
3095	PARCC testing is going surprising well for our students I believe in them! #PARCC #wegotthis @edchat
3104	@SimplySuzy beautiful thoughts on @FourthGraders and #PARCC http://fb.me/7aylCt6YI�_. Share with fellow Ts & Ss #elemtech @edtechteacher21
3139	In My Opinion This Is Best Resource About Lesson Planning for Parcc #lesson #planning ###parcc http://stuffspec.com/publicfiles/Lesson_Planning_For_Parcc.html�__�_
3253	Tomorrow is the first day of ELA #PARCC for the #jmswoburn 7th grade students. Get a good night sleep and a big breakfast! #youcandoit!
3370	For those of you about to take the #parcc plunge -- these strategies have helped us for sure: http://goo.gl/YBSckC
3374	They approve: NJ Community college presidents will use controversial #PARCC tests for student placement http://bit.ly/1BKYi4P
3843	New Jersey's 19 community colleges to use #PARCC as an indicator of college readiness http://www.pressofatlanticcity.com/education/community-colleges-to-use-parcc-for-placement/article_a322c956-d1a3-11e4-91c1-17cfe0e84bd2.html?mode=jqm�__�_
3889	So proud of our @curleyk8 students who crushed their first day of the #PARCC! #curleycares
