id	Tweet text
8000	Is it true that #hawaii parents can't opt out of Smarter Balanced Assessments? @HIDOE808 #OptOut #SpEd
8001	@OptOutAZ #azmerit #optout #parentchoice http://www.livingindialogue.com/common-core-standards-ten-colossal-errors/�__�_ #stopcommoncoreaz #stopcommoncore #ccot #AZ @dougducey @_DianeDouglas
8002	Of course she endorses parents OptOut children from #CommonCore #PARCC testing.Only thing that makes sense NewMexico. http://dianeravitch.net/2015/03/31/breaking-news-aft-president-randi-weingarten-endorses-opt-out/�__�_
8003	Optout round 2#CommonCore #PARCC grades 3-8 @Sen_MimiStewart: A Month of Opting Out of Standardized Tests: Day 12 http://www.edusanity.com/2015/03/31/a-month-of-opting-out-of-standardized-tests-day-12/�__�__ѝNM"
8004	Some huge flaws in #CommonCore testing #PARCC #OptOut #NM @TNT_Las_Cruces: #Truth. http://dianeravitch.net/2015/03/31/some-huge-flaws-in-common-core-testing/�__�_ http://fb.me/7c7J52zwo�__ѝ"
8005	#VIDE transitions to online assessments w/ #SBAC http://ln.is/blogspot.com/1fKKm�__�_
8006	Danger NM @GetUpStandUp2: The Dangers of Toxic Testing |Piktochart Infographic Editor: https://magic.piktochart.com/output/4887167-the-dangers-of-toxic-testing#.VReNVKwmuIg.twitter�__�_ _ѝ #OptOut #CommonCore #PARCC"
8007	NM @Education_Stuff: CURMUDGUCATION: PA: All About the Tests (And Poverty) http://curmudgucation.blogspot.com/2015/03/pa-all-about-tests-and-poverty.html?spref=tw�__�__ѝ #poverty #nm #OptOut #CommonCore #PARCC"
8008	I won't opt my kid out of Common Core testing in Oregon. But I will temporarily change his name to Little Bobby Tables.
8009	Go NewJersey! @NJOptOut: First NJ Refuse PARCC billboard just went up!!! http://fb.me/1T2ZShD4N�__ѝ NewMexico #OptOut #CommonCore #PARCC #nmpol"
8010	New Mexico @abney45: Opt out Day 12: Why poverty matters in standardized testing http://www.edusanity.com/2015/03/31/a-month-of-opting-out-of-standardized-tests-day-12/�__�_ via @EduSanity_ѝ #CommonCore #PARCC"
8011	The high stakes testing scam and how you can opt out http://www.youtube.com/watch?v=He40_TP_YFA&sns=tw�__�_ via @youtube
8012	@KindlingGroup no live links for validity studies: http://www.parcconline.org/2014-field-test-and-related-research�__�_ #PARCC @ISBEnews #theschoolprojectpic.twitter.com/9QpfrXzY58
8013	Please follow Ryan Ziebart so he can follow the class Twitter. He has to keep his followers/ following ratios even. #bringheadphones #sbac
8014	Feds extend NM No Child waiver for four years http://www.abqjournal.com/562869/news/feds-extend-nm-no-child-waiver-for-four-years.html�__�_ via @ABQJournal #optout #stopcommoncore
8015	BREAKING NEWS: AFT President Randi Weingarten Endorses Opt Out! #optout #CommonCore http://dianeravitch.net/2015/03/31/breaking-news-aft-president-randi-weingarten-endorses-opt-out/�__�_
8016	@NYSAPE Before I start supporting #optout I want info on how this will impact my district I want to be respectful 2 supportive admin thanks
8017	_�� @RaymondWWalter: @CanibeYOUNG @Stoptesting15 That's why we all need to #OptOut_ѝ I would be one of the first if my own kids were that age!
8018	@C_Derrenbacher @nysut no district has lost money due to #optout. Many below 95% for two yrs
8019	@CanibeYOUNG @Stoptesting15 That's why we all need to #OptOut
8020	@NYSenate All of you are a joke. Wait til your next elections. See Ya! @STA_Tweets @mark_kirsch #OptOut
8021	@nysut @Stoptesting15 State budget overwhelmingly passes Does #OptOut become serious discussion now? How do we avoid hurting district #NYS
8022	Opting for the dress well test well thing tomorrow..... Yep.... That'll work.
8023	Good teachers leave the classroom because of lack of autonomy not money. http://budurl.com/Teach1 #Teachers #RefuseTheTest
8024	#aPARCCalypse now #parcc's&rec #everybodyhatesparcc
8025	@keithleger1 @JoshUnderwoodLc @vailjuju spent all evening discussing #parcc and #stopcommoncore w/other parents! AT THE BALL PARK!
8026	Sad day in Albany. Budget passed with heavy hearts". Opt out is no longer an option. The only way to kill the testing beast is to starve it"
8027	@AllyBrodwey I think we should all opt out" of outsider observations - give a test show a movie or have the class do test prep worksheets."
8028	Don't invoke #optout @PatriciaFahy109 and vote yes on #NYSBudget
8029	I'm opting my kid out of high-stakes mandatory testing. For her own sake and in solidarity. #teachreallife
8030	. @PFahy109 says if things don_��t improve she_��ll _��lead the charge_ѝ to opt out of Common Core testing.
8031	@PatriciaFahy109 With a heavy heart I vote in the affirmative. We've punted to the Regents. WILL SUPPORT #optout pic.twitter.com/Kt9pRoMk3t"
8032	@HelenRosenthal Thank you! Parents must keep pressure on those selling out our kids to test companies & #HedGEFUNDreformers #optout @NYSAPE
8033	@paterson_nick @JohnGalvinBK purpose of opt out is to do exactly that. One way or another need to elim test & punish.
8034	#notoonesizefitsall you can't push a square peg into a round hole #optout of #CC #mychildmatters #kidscomefirst support @JamesTedisco bill
8035	@RealTalkGwenS Wait until those white parents figure out that the test they are opting out of is free test preparation for the New SAT.
8036	@UberFacts: Reindeer eat Fly Agaric/Magic Mushrooms to get high." #pearsoniswatching"
8037	#optout needs school leaders not politicians. http://bustedpencils.com/2015/03/optout-needs-school-leaders-not-politicians/�__�_
8038	Testing Opt Out Movement Comes To NC http://stopcommoncorenc.org/testing-opt-movement-comes-nc/�__�_
8039	Fueled by the _��reforms_ѝ passed (soon) by both houses of the NYS Legislature tonight resistance including #optout set to explode. @nysut
8040	hey @ISBEnews no provision for lots of things in public school. ergo: #optout it's our right as parents & students! @ILRaiseYourHand
8041	Wow! @errollouis: If parents ask u re #optout? MMulgrew: Will say Its THEIR decision but #ccss test is NOT diagnostic tool @changethestakes
8042	This madness in NY and across the nation is strategically planned to destroy public ed. #KidsFirst #OptOut http://capi.tl/1Hgyl1W
8043	Are #parcc items making better #assessment? #education #edtech #ccss #commoncore http://www.assess.com/parcc-part-ab-items-provide-bad-data/�__�_
8044	Can I opt out of testing claiming I feel it's a prank?
8045	Its so ironic the people suggesting to opt out of NYS testing are the tenured teachers who can't get fired and are never tested again.
8046	@HolmesAndCo @stevenlmass @teachplus @CommonCoreForum conspiracy card when presented fact states dumping #parcc #CC follow $$ #RttT
8047	The School Closure Playbook is a powerful must-watch short film. This is *not* just playing out in Chicago. https://vimeo.com/120338240 #PARCC
8048	@KellyORourke2 @teachplus @CommonCoreForum @stevenlmass I'm hearing kids like how #parcc makes them think. Sorry to disappoint
8049	Why do we need to change from MCAS to #PARCC in Massachusetts? Maybe both should go?
8050	@JamesTedisco @PatriciaFahy109 @NYGovCuomo @CarlEHeastie @SenatorSkelos a true waste of paper #voteno #refusethetest
8051	List of forums around all of NYS - attend and bring a friend - #refusethetest to stop the madness http://www.nysape.org/eventspressletters.html�__�_
8052	Opting out my children from state tests because I value their teachers. I don't determine teachers' value based on a test @nysut @danstec
8053	BATs around the country - tell politicians stop playing games w/ our kids - if u r a parent #refusethetest! #TBATspic.twitter.com/2ewBkdnWfO
8054	BATs around the country - tell politicians to stop playing games w/ our kids - if u r a parent #refusethetest! pic.twitter.com/eJOdeaF6es
8055	When asked I indicated to my students that tomorrow during #SBAC would be an unwise time to plan a prank. #AprilFools #teacherlife
8056	From what I've read about the #NYbudget so far I am absolutely certain we made the right choice to #OptOut
8057	#optout
8058	#GAFE = best #PARCC prep tools around. Seriously. http://goo.gl/YBSckC #gafechat #edchatma
8059	@danstec but again thank you for being there for #parents #optout #CC
8060	Webinar for Educators #PARCC Survival Guide _�� Teaching Pathways for New Assessments. Register here: http://goo.gl/lteX2f
8061	ALBANY NOT LISTENING: @CarlHeastie ignoring polls + protests against #Cuomo's ed proposals as @NYSUT @AFTunion embrace #OptOut @superwuster
