id	Tweet text
5000	Opting out is not about helping the union or opposing accountability.It is a clear message:testing is out of control. http://dianeravitch.net/2015/03/31/breaking-news-aft-president-randi-weingarten-endorses-opt-out/�__�_
5001	My students are braver more persistent and more resilient than I am. #SBAC #highstakestesting
5002	@LamoureuxRob @KarenMageeNYSUT @sarbetter That is individually. We need 2 make #RefuseTheTest NYSUT statement
5003	Why my children opt out of standardized testing_��and yours should too http://buff.ly/1bHOsvC
5004	The problem with PARCC: Children should not be leaving standardized tests in tears" http://buff.ly/1F9vGqD #education #edchat #optout @Bad_�_"
5005	Pride in your child or student should never be dependent on their #staar scores #endstaar #optout #morethanascorepic.twitter.com/GmP5Huyu1n
5006	High Stakes Testing is a waste if time and money. #TBATS @BadassTeachersA #pearsoniswatching @NYGovCuomopic.twitter.com/QoxhLdYpCl
5007	Standardized Testing uses your kids for data mining. Sign the Petition to protect their rights and opt out. http://www.refusecommoncore.com/
5008	The new #PARCC exams may be new and stressful but there's nothing like a game of catch in school to get kids ready. pic.twitter.com/uH8LbOLFW2
5009	My second sweet student crying over #PARCC & I dont like coming to school." this morning. :( @Linda1746"
5010	Day 1 PARCC. Students & teachers are SO MUCH more than a test score! We've reduced learning to a number. #PARCC #CommonCore #commonhorror
5011	My fave ugly #PARCC story so far: SpEd student made to Sit-N-Stare for extended time" as it's in his IEP. Wow. http://www.chicagotribune.com/news/ct-parcc-sit-and-stare-met-20150324-story.html#page=1�__�_"
5012	RT #optout Yes its s choice & its yours parentskidsteachers @DMace8 @GetUpStandUp2 @BadassTeachersA @julieinjaxpic.twitter.com/Rqkq7XCYQH
5013	Rt @StevenMQuezada : Elementary school teachers: How PARCC testing is affecting our classrooms http://fb.me/4grHSS3xu�__ѝ @ABQschools #optout"
5014	#CommonCore Control Starts With Kindergartners~ http://www.washingtonpost.com/blogs/answer-sheet/wp/2015/03/11/kindergartners-asked-to-check-out-college-scholarships-and-select-jobs/?postshare=4521427125154809�__�_ #StopCommonCore #OptOut #RedNationRising
