id	Tweet
5005	Pride in your child or student should never be dependent on their #staar scores #endstaar #optout #morethanascorepic.twitter.com/GmP5Huyu1n
5010	Day 1 PARCC. Students & teachers are SO MUCH more than a test score! We've reduced learning to a number. #PARCC #CommonCore #commonhorror
5073	@15Warrenton Fantastic! No punitive sit and stare! #optout #morethanascore #whyIrefuse
5081	As we continue the #PARCC and other #CCSS testing remember so much the tests don't tell us: http://bit.ly/1w3s5cJ�_ via @BAMRadioNetwork
5091	Bastardizing #education #StandardizedTests ignore creativity resiliency entrepreneurship... What's not in tests wont be taught. #OptOut
5096	@TeachersTweeeet: The one size fits all approach of standardized testing is convenient but lazy." ~James Dyson #pearsoniswatching #TBATS"
5097	The one size fits all approach of standardized testing is convenient but lazy." ~James Dyson #pearsoniswatching"
5120	_��Everything that can be counted does not necessarily count; everything that counts cannot necessarily be counted_ѝEinstein #PARCC #WhyIRefuse
5160	My 5th grader isn't supposed to be college and career ready" so stop testing and start teaching. #itsjustanothertest #pearsoniswatching"
5184	Our children are #morethanascore #pearsoniswatching #Pearson #PARCC
5195	Why do I refuse? I refuse because my child is MORE than a score. @gastopcommonc #optout
5238	@HuffPostEdu yes I'd allow my son to opt out because he is more than a test score @OhioBATs @UnitedOptOut
5261	#RefuseTheTest #OptOut our children are more than a test score! @NYGovCuomo
5266	@jdandrea @salberti @NJSenatePres @SavOurSchoolsNJ Giving up on #PARCC now tells our children that THEY matter. #refusethetests #noPARCCing
5013	Rt @StevenMQuezada : Elementary school teachers: How PARCC testing is affecting our classrooms http://fb.me/4grHSS3xu�__ѝ @ABQschools #optout"
5032	What_��s the goal of your school: achievement or learning? #parcc http://perkinsed.blogspot.com/2015/01/how-culture-of-achievement-is-hurting.html�__�_pic.twitter.com/tTBxbZd4E5
5040	Are #CommonCore and #PARCC taking all of the enjoyment out of #reading ?? http://tinyurl.com/ne5zwxq
5041	. @UnitedOptOut Standardized testing stifles creativity sucks up instruct. time & provides bad data #optout @BobPMilwpic.twitter.com/0FYTH5eyiQ
5047	Critical thinking and standardized testing don't mix. #optout @OhioBatshttp://www.huffingtonpost.com/peter-greene/why-critical-thinking-will-never-be-on-the-test_b_6919576.html?ncid=fcbklnkushpmg00000020�__�_
5048	1. Standardized tests penalize students who don't master material on an arbitrary date.�_http://crunchymoms.com/eleven-reasons-refuse-standardized-testing-children/?utm_content=buffer0f160&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer�__�_ #optout #refuse #PARCC #SBAC
5049	Opting out is a choice. There are signs for testing but no signs for learning.
5052	@BadassTeachersA Opting out is not anti-test - it's PRO - EDUCATION! ^0^ Testing is not LEARNing #TBATspic.twitter.com/rkfn3joAKf
5057	True learning is on hold in grades 3-8 as tchers prepare for #HighStakesTests! #OptOut so our children can learn all year! @LIOptOut @NYSAPE
5058	#PARCC has become tipping point uniting parents across state around bad ep policies lost instructional time overemphasis on testing.
5061	During #PARCC students miss out on art music and gym classes via @bylaurenfitz and @Suntimes. http://ow.ly/KGq8p
5078	Excessive tests crimp lesson time #Ohio teachers say http://shar.es/1fBm1J�_ via @DispatchAlerts #education #edchat #commoncore #parcc
5079	Would like to do more but #PARCC took over for a few weeks #weredonefornow #BFC530
5092	Regurgitation of material on arbitrary exams does not ensure that kids are learning. #optout
5104	Shoving textbooks and standardized testing down kids' throats is discouraging them from getting college- and career-ready! #ccss #PARCC
5111	@pearson doesn't know music builds brain connections #PARCC can't test it @UnitedOptOut #TBATS @BadassTeachersApic.twitter.com/QH3qtws4bT
5189	Take 4th grade #SBAC Eng LA test--& tell me it isn't the death of a love of learning in truth the death of childhood http://sbac.portal.airast.org/practice-test/
5191	A broken toe makes walking difficult; PARCC testing makes teaching & learning impossible! #PARCC/CCRAP
5193	Work your way through 4th grade #SBAC Eng LA test--& then tell me it doesn't signify the death of a love of learning http://sbac.portal.airast.org/practice-test/
5197	Why do I refuse? I refuse because standards based teaching and testing fail our kids. #StopCommonCore #optout @gastopcc @badassteachera
5198	Something is wrong with our current practices #optout #batspic.twitter.com/iCk7iJGZyS
5199	NCLBs 4th grade gains aren't learning gains they're testing gains. That's why they don't last." ~Jonathan Kozol #pearsoniswatching"
5200	@BarackObama still places far too much emphasis on relentless testing with standardized exams." ~J. Kozol #pearsoniswatching"
5201	In an era of testing frenzy...We r denying them opportunities 2tinkerdiscover&explore - in short to play." ~Hammond #pearsoniswatching"
5202	The one size fits all approach of standardized testing is convenient but lazy." ~James Dyson #pearsoniswatching"
5205	Tests Have Become a Substitute for Real Learning http://t.usnews.com/Z7mbqm�_ via @usnews #parcc #optout #nmlegis @HannaSkandera
5210	I challenge you to take the 4th grade #SBAC Eng LA test--and then tell me it doesn't signify the death of childhood. http://sbac.portal.airast.org/practice-test/
5218	Just gonna say it...Feeling depressed about starting 8+ weeks of #parcc Imagine if the time talent and resources were spent on...learning?
5219	#PARCC Question Is this a Renoir? Answer: Fund ARTS not TESTS @BadassTeachersA #TBATS #pearsoniswatching pic.twitter.com/qi3plbyvbB
5227	@HuffPostEdu refused for my 2....tests don't teach! #PARCC
5234	@PwrOfthePEN @HuffPostEdu none of us #optout our kids b/c we are afraid of challenges! We are sick of the lack of teaching. #parcc
5250	@HuffPostEdu Absolutely would opt out. Those weeks of testing should be spent LEARNING @NJBatsa @NYStateBATs @BAT_teacher
5255	@HuffPostEdu Absolutely would opt out. Those weeks of testing should be spent LEARNING. @BadassTeachersA @UTLAnow
5272	Spoon feeding in the long run teaches us nothing but the shape of the spoon Don't be spoon feed by #Pearson #parcc #commoncore Say #noparcc
5288	It's not assessment or feedback if it destroys a students thirst for learning for reading for writing for sharing for thinking. #parcc
5300	Thanks to @BillGates @GovChristie and the #PARCC test this year NJ teachers will be testing more than they're teaching. #njed #sunchat
2071	800+ colleges are test-optional for admissions. Test scores do not accurately represent potential for success. Refuse #parcc @PARCCPlace
7463	. @SenSanders #SBAC & #PARCC only provide score & ranking. Kids are more than a test score end annual tests as part of #ESEA
7464	. @McConnellPress #SBAC & #PARCC only provide score & ranking. Kids are more than a test score end annual tests as part of #ESEA
7466	. @ChrisMurphyCT . @SenWarren #SBAC & #PARCC only provide score & ranking. Kids are more than a test score end annual tests as part of #ESEA
7467	. @SenBlumenthal #SBAC & #PARCC only provide score & ranking. Kids are more than a test score end annual tests as part of #ESEA.
14623	. @optoutstlucie ...testing critics say students more than a score" Senate lawmakers debate testing bill http://fw.to/yHjImId #optout"
3590	. @LarryHogan can withdraw MD students from PARCC testing and bring education back to our schools. http://thndr.it/1CGtMtl #optout
6240	. @WEAC Testing is not teaching. High stakes standardized tests are killing joy of learning #optout @RethinkSchoolspic.twitter.com/ZK5PvPn421
7147	. @optoutstlucie Teacher: The Day the Light Went Out in My Students' Eyes http://wp.me/p2odLa-a9j via @DianeRavitch #optout #morethanascore
13680	...join the work of teaching/learning WITH youth at the center so that innovation creativity & real education may flourish. #optout 4of4
14901	. @teka21bat Individualized student goals are being lost under this #EdDeform agenda. #OptOut to get Ts back to helping children! @NYSAPE
2035	@arneduncan my son is too busy reading texts" and doing test prep to have time to read real literature #optout"
2059	Actually it has been hurting #education for a while. Letter: Testing can hurt a child's education #optout http://www.timesunion.com/tuplus-opinion/article/Letter-Testing-can-hurt-a-child-s-education-6231526.php?cmpid=twitter … #edchat
2065	We want to be able to offer a good strong education for the students" -Reviving Rapid City Schools on the #optout"
2110	If schools are not going to focus on test prep what should they do instead? http://bit.ly/1bZiefI #edchat #optout
2422	Last day of #sbac testing tomorrow. Back to your regular lessons. Oops sorry I mean those hours out of class had no effect on teaching.
