id	Tweet text
9	I won't opt my kid out of Common Core testing in Oregon. But I will temporarily change his name to Little Bobby Tables.
17	@NYSAPE Before I start supporting #optout I want info on how this will impact my district I want to be respectful 2 supportive admin thanks
36	@RealTalkGwenS Wait until those white parents figure out that the test they are opting out of is free test preparation for the New SAT.
46	Its so ironic the people suggesting to opt out of NYS testing are the tenured teachers who can't get fired and are never tested again.
130	ISBE rep: students can refuse the test but we do not favor the #optout because we believe in this test. It is a better test" #TestingSeason"
131	Mary Fergus says they should have done better job. No opt out provision in fed law. Won't support opt out b/c better test" #TestingSeason"
175	Click to see why we should put that #OptOut energy into fixing real problems in education: http://educationpost.org/opting-out-is-not-progressive/?utm_source=twitter&utm_medium=social&utm_campaign=Acct&utm_content=TwAcctOptoutChicagoGw4�__�_ @theschoolpr
800	RT @waOSPI: The latest standardized test has a lot going for it" http://www.bellinghamherald.com/2015/03/29/4210209/our-voice-the-latest-standardized.html�__�_ #waedu #SBAC"
840	#PARCC tests Ss creativity & analytical thinking not just memorization of facts http://bit.ly/1HX1WRn #MApic.twitter.com/4D9PxQ6rnx
855	In last month where has more time been spent administering/taking #PARCC or complaining/rallying against? #edchat #njed
1026	. @educationgadfly @rpondiscio How does any given #optout stdnt negatively affect any other stdnt (of any SES or ethnicity)? #credibilitygaps
1264	Opinion - Guest Commentary: Reject legislation to opt out on testing http://www.denverpost.com/opinion/ci_27798473/guest-commentary-reject-legislation-opt-out-testing�__�_
1280	What matters about standardized tests is whether they help struggling kids and schools get better http://www.metrowestdailynews.com/article/20150329/OPINION/150326235/2012/OPINION�__�_ #PARCC
1289	Asked a student who just took the #PARCC what he thought: More interesting and fun than the state test he took last year. #CommonCore
1295	On #PARCC Breathe deeply. It's only a test maybe a better one. http://www.metrowestdailynews.com/article/20150329/OPINION/150326235/2012/OPINION�__�_
1547	The SAT can't be leveraged for more school funds resources & supports. But statewide annual assessments can. #Optout protects privilege.
1888	72% of Massachusetts participants say #PARCC is a higher quality assessment than incumbent #MCAS test: http://ow.ly/KSCS5
2248	72% of Massachusetts participants said #PARCC is a higher-quality assessment than previous #MCAS Test: http://goo.gl/9p55kt
2307	72% of Massachusetts participants said #PARCC is a higher-quality assessment than previous #MCAS Test: http://goo.gl/9p55kt #mapoli
3002	Implementing #PARCC will be hard but worth it writes @CoaHCPS's Karen Levin http://commonwealthmagazine.org/education/parcc-will-work/�__�_
3016	@teachplus report. MA teachers recommend #PARCC. 67% say it is strong measure of critical thinking. Call for more PD http://bit.ly/1xygbsx
3039	Read why these 2 teachers believe fellow educators need to take the #OptOut rhetoric out of the classroom: http://educationpost.org/standardized-testing-kid-tested-mother-approved/?utm_source=twitter&utm_medium=social&utm_campaign=Acct&utm_content=TwAcctMotherApprovedEsHk7�__�_
3052	That opting out of test shit gets me tight. The points are valid but we took the test. Since when do you just get to say you don't want to?
3059	Policy Fellows new report from 351 teachers/74 districts in MA call for adoption of #PARCC: http://bit.ly/1xygbsx�_pic.twitter.com/8suNuKwQGl
3080	Editorial: Enough with the games. Take the #PARCC test. http://bit.ly/1FUwqkF @projo #RhodeIsland
3154	Remember when @amandaripley asked what else we could #OptOut of? ICYMI: http://educationpost.org/lets-not-teach-our-kids-to-opt-out/?utm_source=twitter&utm_medium=social&utm_campaign=Acct&utm_content=TwAcctoptoutMT1�__�_
3180	Debates over testing crossing the line as opt outs put NM at risk http://goo.gl/SeYdGr @CarinaHilbert
3206	The hysteria about #PARCC needs to stop: http://www.nj.com/opinion/index.ssf/2015/03/parcc_victimhood_and_why_its_overblown_editorial.html�__�_
3245	As Dad @JonahEdelman @Stand4Children welcomes #SBAC & #PARCC tests; tells kids do your best" http://thebea.st/1MWimJM @thedailybeast"
3256	Did You Know: 67% of #MA T_��s believe #PARCC measures critical thinking skills effectively http://bit.ly/1Iq73ah�_pic.twitter.com/km4isGWFMm
3258	Most teachers surveyed think #PARCC will be better than previous assessments: http://hechingerreport.org/can-new-tests-quell-teacher-anger-common-core/�__�_
3270	#NJ's #communitycolleges strongly back #PARCC school testing. Say many students arrive unprepared. Via @AdelyReporter http://www.northjersey.com/news/community-college-presidents-will-use-controversial-parcc-tests-for-student-placement-1.1294635�__�_
3309	Supporting #OptOut of tests is telling [children] that we don_��t believe that they are up to the challenge." http://mf.tt/s3nb1 #CCSS"
3332	#Massachusetts #teachers & leaders voice support for #PARCC @FutureReadyMA http://www.mbae.org/parcc-test-fairness-and-security/�__�_ @teachplusMA @MassStand @NBPublicSchools
3355	RT @MassStand: New @teachplusMA report shows 72% of surveyed MA teachers think #PARCC is a better test than MCAS http://bit.ly/1Iq73ah
3358	Survey shows most teachers think #PARCC tests are better but still have suggestions for improvements: http://hechingerreport.org/can-new-tests-quell-teacher-anger-common-core/�__�_
3378	Check out the new @teachplusMA report that was released this morning. MA teachers think highly of #PARCC http://bit.ly/1Iq73ah
3380	Another great post by @lynnellmick on the opt-out-of-testing movement who's behind it & why we shouldn't buy into it http://putkidsfirstmn.org/why-the-opt-out-movement-targets-affluent-white-parents/�__�_
3390	New post from @FutureReadyMA about our report: MA Teachers Examine PARCC - learn why MA educators support #PARCC http://tinyurl.com/owt5g75
3410	CT parent on why #SBAC #education testing is an opportunity http://conta.cc/1Bg89k1�_ via @CTedreform #PARCCready
3411	Totally ridiculous: Father opts out kindergartener daughter from the #DIBELS test_�_ http://pcook.me/16BJb #edreform
3433	@CommunityCCRC: New Jersey colleges issue statement in support of #CommonCore & #PARCC assessments: http://www.app.com/story/news/education/homeandschool/2015/03/23/nj-colleges-support-common-core/70351536/�__�_" #comm_colleges"
3442	72% surveyed teachers think #PARCC is better than MCAS @teachplusMA: MA Teachers Examine #PARCC: http://tinyurl.com/n8nrjku #assessments #MAEdu
3445	For parents testing is an opportunity http://ow.ly/KKamq #education #SBAC #edu
3448	New research: When teachers try #PARCC they like what they see. @teachplus @PARCCPlace http://www.teachplus.org/sites/default/files/publication/pdf/1000_teachers_examine_parcc.pdf�__�_
3459	Two moms who are also teachers reflect on why kids should not opt out of testing http://educationpost.org/standardized-testing-kid-tested-mother-approved/#.VRGOtkKxFAK�__�_ @hkragthorpe #howareourkidsdoing
3488	There are some things we just can't #OptOut of and definitely one thing we shouldn't_��testing: http://educationpost.org/school-choice-is-my-kids-path-to-the-american-dream/?utm_source=twitter&utm_medium=social&utm_campaign=Acct&utm_content=TwAcctRipleyTweetMT3�__�_
