"ID","Form","Item","Year","School","Content","Teacher","Period","Student","Course","Constructed Response","Multiple Choice Response","Dichotomous Response"
1211441,"B","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,41,"Honors Biology","I wrote A b/c of solar lights are lights based off visible light (sun)","A","0"
1211441,"B","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,41,"Honors Biology","Burning coal raises more energy.","A","0"
1211441,"B","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,41,"Honors Biology",.,"A","1"
1211441,"B","PL.Q03.EED3.OE_BCEP","1",2,"Biology",211,4,41,"Honors Biology","I chose e because the energy is being transmitted through each item in the food chain, but lost through each.","E","1"
1211441,"B","PL.Q05.EEC5.OE_E","1",2,"Biology",211,4,41,"Honors Biology","I wrote A because the frog gets energy from the food.","A","0"
1211442,"B","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,42,"Honors Biology",.,"C","0"
1211442,"B","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,42,"Honors Biology",.,"C","1"
1211442,"B","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,42,"Honors Biology",.,"A","1"
1211442,"B","PL.Q03.EED3.OE_BCEP","1",2,"Biology",211,4,42,"Honors Biology","The fan provides sound which in other words is energy, and heat because the energy it gets from the well.","B","0"
1211442,"B","PL.Q05.EEC5.OE_E","1",2,"Biology",211,4,42,"Honors Biology","In graph it starts low then goes up and back down showing its releasing.","A","0"
1211443,"A","PL.Q01.EES1.OE_BCEP","1",2,"Biology",211,4,43,"Honors Biology","The water for the water cycle is moved by gravity.","D","0"
1211443,"A","PL.Q02.EET2.OE_E","1",2,"Biology",211,4,43,"Honors Biology","The consumption of one thing by another is chemical energy.","B","1"
1211443,"A","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,43,"Honors Biology","Lights already use all of the energy to emit light.","A","0"
1211443,"A","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,43,"Honors Biology","Burning coal releases heat energy.","A","0"
1211443,"A","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,43,"Honors Biology","The hill is forcing Keisha to put more effort into pushing her bike uphill.","C","0"
1211444,"F","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,44,"Honors Biology",.,"C","0"
1211444,"F","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,44,"Honors Biology",.,"A","0"
1211444,"F","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,44,"Honors Biology",.,"D","0"
1211444,"F","PL.Q20.BPD9.OE_B","1",2,"Biology",211,4,44,"Honors Biology",.,"D","0"
1211444,"F","PL.Q21.BPC10.OE_B","1",2,"Biology",211,4,44,"Honors Biology",.,"B","0"
1211445,"C","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,45,"Honors Biology","Having a light that uses 100% of the electricity is impossible to build.","D","1"
1211445,"C","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,45,"Honors Biology","Both burning coal and exploding fireworks will release energy.","C","1"
1211445,"C","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,45,"Honors Biology","Keisha gets her energy from the food she ate.","A","1"
1211445,"C","PL.Q06.EAS6.OE_E","1",2,"Biology",211,4,45,"Honors Biology","A hybrid car suing electric batteries and diesel engines is an example of the use of renewable energy source because it's something that can be renewed.","D","0"
1211445,"C","PL.Q08.EAD8.OE_BCEP","1",2,"Biology",211,4,45,"Honors Biology","A renewable energy resources are not equally available in all locations.","B","0"
1211446,"E","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,46,"Honors Biology","I know jack about building lights. I'm in a bio class.","C","0"
1211446,"E","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,46,"Honors Biology","The energy used will not just disappear. Law of conservation of energy.","C","1"
1211446,"E","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,46,"Honors Biology","All others are using energy already. Why is ke$sha not riding her bike up the hill?","A","1"
1211446,"E","PL.Q16.BLD5.OE_B","1",2,"Biology",211,4,46,"Honors Biology","I don't know seemed improbable that all waves broken down.","C","1"
1211446,"E","PL.Q17.BLC6.OE_BCEP","1",2,"Biology",211,4,46,"Honors Biology","Eat -> get more energy than that required to eat.","C","1"
1211447,"C","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,47,"Honors Biology","Solar cells only use the energy they have.","C","0"
1211447,"C","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,47,"Honors Biology","They both release energy in different forms.","C","1"
1211447,"C","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,47,"Honors Biology","She uses the energy in her muscles to push the bike against gravity.","A","1"
1211447,"C","PL.Q06.EAS6.OE_E","1",2,"Biology",211,4,47,"Honors Biology","It reuses energy compared to a dryer which just uses it. A radiator cant get that energy back. A calculator just uses energy.","D","0"
1211447,"C","PL.Q08.EAD8.OE_BCEP","1",2,"Biology",211,4,47,"Honors Biology","It isn't available just anywhere. Only in certain places.","B","0"
1211448,"C","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,48,"Honors Biology","This is because copper wires don't do good of a job transferring energy.","B","0"
1211448,"C","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,48,"Honors Biology","When a firework launches the chemicals get fused and make energy to propel the firework.","C","1"
1211448,"C","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,48,"Honors Biology","I recently watched Bill Nye and he said when we eat and the food digests It creates energy so we move.","A","1"
1211448,"C","PL.Q06.EAS6.OE_E","1",2,"Biology",211,4,48,"Honors Biology","I chose B for numb b because the solar can renew for other things like lighting up a house.","B","1"
1211448,"C","PL.Q08.EAD8.OE_BCEP","1",2,"Biology",211,4,48,"Honors Biology","When energy gets used to things that don't get used like abandoned planes.","D","1"
1211450,"F","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,50,"Honors Biology","You can not build something with 100% energy because of the energy goes somewhere else.","D","1"
1211450,"F","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,50,"Honors Biology","Both will release energy, for instance burning coal disperses heat while fireworks explode.","C","1"
1211450,"F","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,50,"Honors Biology","Keisha uses the energy from the food she has eaten, b/c the food contains proteins and carbohydrates.","A","1"
1211450,"F","PL.Q20.BPD9.OE_B","1",2,"Biology",211,4,50,"Honors Biology","Some of the energy escapes into other things.","B","1"
1211450,"F","PL.Q21.BPC10.OE_B","1",2,"Biology",211,4,50,"Honors Biology","Energy increased after cellular respiration.","A","0"
1211451,"A","PL.Q01.EES1.OE_BCEP","1",2,"Biology",211,4,51,"Honors Biology",.,"C","0"
1211451,"A","PL.Q02.EET2.OE_E","1",2,"Biology",211,4,51,"Honors Biology",.,"C","0"
1211451,"A","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,51,"Honors Biology",.,"C","0"
1211451,"A","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,51,"Honors Biology",.,"C","1"
1211451,"A","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,51,"Honors Biology",.,"C","0"
1211452,"E","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,52,"Honors Biology","Not all energy from the is also changed into heat as well not just light.","D","1"
1211452,"E","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,52,"Honors Biology","both reactions result in the release of energy due to the display of light and heat.","C","1"
1211452,"E","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,52,"Honors Biology","she consumed energy via the food she ate which converted to ATP that moves her limbs.","A","1"
1211452,"E","PL.Q16.BLD5.OE_B","1",2,"Biology",211,4,52,"Honors Biology","When the human body's cells break down the glucose in order to convert it for energy, for the body get all of the energy is changed into ATP molecules some of it is lost to other factors such as heat.","C","1"
1211452,"E","PL.Q17.BLC6.OE_BCEP","1",2,"Biology",211,4,52,"Honors Biology","Because the human body is able to break down more food into energy for the body it increases.","C","1"
1211453,"D","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,53,"Honors Biology","This is basically a solar panel.","B","0"
1211453,"D","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,53,"Honors Biology","Not sure, wild guess.","B","0"
